DateKey,Date,Year,Quarter,Month,MonthName,MonthYear,Week,Day,DayOfWeek,IsWeekend,FiscalYear,Season,IsFestivalWindow
20220316,2022-03-16,2022,1,3,Mar,Mar-2022,11,16,Wednesday,False,FY22,Summer,False
20220317,2022-03-17,2022,1,3,Mar,Mar-2022,11,17,Thursday,False,FY22,Summer,False
20220318,2022-03-18,2022,1,3,Mar,Mar-2022,11,18,Friday,False,FY22,Summer,False
20220319,2022-03-19,2022,1,3,Mar,Mar-2022,11,19,Saturday,True,FY22,Summer,False
20220320,2022-03-20,2022,1,3,Mar,Mar-2022,11,20,Sunday,True,FY22,Summer,False
20220321,2022-03-21,2022,1,3,Mar,Mar-2022,12,21,Monday,False,FY22,Summer,False
20220322,2022-03-22,2022,1,3,Mar,Mar-2022,12,22,Tuesday,False,FY22,Summer,False
20220323,2022-03-23,2022,1,3,Mar,Mar-2022,12,23,Wednesday,False,FY22,Summer,False
20220324,2022-03-24,2022,1,3,Mar,Mar-2022,12,24,Thursday,False,FY22,Summer,False
20220325,2022-03-25,2022,1,3,Mar,Mar-2022,12,25,Friday,False,FY22,Summer,False
20220326,2022-03-26,2022,1,3,Mar,Mar-2022,12,26,Saturday,True,FY22,Summer,False
20220327,2022-03-27,2022,1,3,Mar,Mar-2022,12,27,Sunday,True,FY22,Summer,False
20220328,2022-03-28,2022,1,3,Mar,Mar-2022,13,28,Monday,False,FY22,Summer,False
20220329,2022-03-29,2022,1,3,Mar,Mar-2022,13,29,Tuesday,False,FY22,Summer,False
20220330,2022-03-30,2022,1,3,Mar,Mar-2022,13,30,Wednesday,False,FY22,Summer,False
20220331,2022-03-31,2022,1,3,Mar,Mar-2022,13,31,Thursday,False,FY22,Summer,False
20220401,2022-04-01,2022,2,4,Apr,Apr-2022,13,1,Friday,False,FY23,Summer,False
20220402,2022-04-02,2022,2,4,Apr,Apr-2022,13,2,Saturday,True,FY23,Summer,False
20220403,2022-04-03,2022,2,4,Apr,Apr-2022,13,3,Sunday,True,FY23,Summer,False
20220404,2022-04-04,2022,2,4,Apr,Apr-2022,14,4,Monday,False,FY23,Summer,False
20220405,2022-04-05,2022,2,4,Apr,Apr-2022,14,5,Tuesday,False,FY23,Summer,False
20220406,2022-04-06,2022,2,4,Apr,Apr-2022,14,6,Wednesday,False,FY23,Summer,False
20220407,2022-04-07,2022,2,4,Apr,Apr-2022,14,7,Thursday,False,FY23,Summer,False
20220408,2022-04-08,2022,2,4,Apr,Apr-2022,14,8,Friday,False,FY23,Summer,False
20220409,2022-04-09,2022,2,4,Apr,Apr-2022,14,9,Saturday,True,FY23,Summer,False
20220410,2022-04-10,2022,2,4,Apr,Apr-2022,14,10,Sunday,True,FY23,Summer,False
20220411,2022-04-11,2022,2,4,Apr,Apr-2022,15,11,Monday,False,FY23,Summer,False
20220412,2022-04-12,2022,2,4,Apr,Apr-2022,15,12,Tuesday,False,FY23,Summer,False
20220413,2022-04-13,2022,2,4,Apr,Apr-2022,15,13,Wednesday,False,FY23,Summer,False
20220414,2022-04-14,2022,2,4,Apr,Apr-2022,15,14,Thursday,False,FY23,Summer,False
20220415,2022-04-15,2022,2,4,Apr,Apr-2022,15,15,Friday,False,FY23,Summer,False
20220416,2022-04-16,2022,2,4,Apr,Apr-2022,15,16,Saturday,True,FY23,Summer,False
